since release of Allies,,,"games with strong players (mu>1.8 for one, or mu>1.3 for both)",,,,,,,,,,,,,,,,,,,,,,,,,all players,,,,,,,,,,,,,,,,,,,,,,,,,card classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,kingdom card,expansion,games,banned,Province ending,3-pile ending,resignation,turns,w/o resignation,Province ending,3-pile ending,resignation,VP winner,w/o resignation,VP loser,w/o resignation,decisions (per player),time (minutes),empty pile,in deck,in deck %,winner in deck,winner in deck %,loser in deck,loser in deck %,skill multiplier,first player win rate,games,banned,Province ending,3-pile ending,resignation,turns,Province ending,3-pile ending,resignation,w/o resignation,VP winner,w/o resignation,VP loser,w/o resignation,decisions (per player),time (minutes),empty pile,in deck,in deck %,winner in deck,winner in deck %,loser in deck,loser in deck %,skill multiplier,first player win rate,cost,Thunderdominion 2023,landscape,Event,Landmark,Project,Way,Ally,Trait,village,draw,terminal draw,draw-to-x,nonterminal draw,trashing,thinning,trashing multiple cards,trashing curses,trashing treasures,trashing victory cards,trashing actions,trash for benefit,additional gains,+buy,alt VP,VP tokens,attack,handsize attack,junking attack,trashing attack,colonies,shelters,potion,duration,night,villagers,coffers,on buy/gain/trash effect,cantrip,throne rooms,cost reduction,disappearing money,sifter,exiler,horses,loot
Pendant,Pendant,Plunder,"2,237",0%,34%,22%,45%,13.8,15.1,15.4,14.6,12.2,25,34,16,22,112,11,0%,0.5,30%,0.5,31%,0.5,29%,0.94,60%,"74,136",0%,54%,14%,32%,16.5,17.8,17.8,17.7,13.7,32,38,21,26,110,11,0%,0.5,30%,0.5,31%,0.5,29%,0.89,56%,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickaxe,Pickaxe,Plunder,"2,310",0%,30%,20%,49%,13.2,14.2,14.5,13.8,12.0,24,34,15,20,119,12,2%,1.4,84%,1.4,84%,1.3,83%,1.04,60%,"73,138",0%,53%,12%,35%,15.8,17.0,17.0,16.7,13.6,32,39,21,26,116,12,2%,1.5,84%,1.5,84%,1.4,84%,0.99,56%,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pilgrim,Pilgrim,Plunder,"2,306",0%,32%,20%,48%,13.7,15.1,15.7,14.1,12.3,24,33,16,22,115,12,3%,1.0,45%,1.0,46%,0.9,44%,0.94,58%,"103,086",0%,55%,13%,32%,16.5,17.8,17.7,17.8,13.9,32,38,21,26,109,11,1%,0.7,38%,0.7,39%,0.7,37%,0.85,56%,5,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quartermaster,Quartermaster,Plunder,"2,203",1%,22%,34%,44%,13.0,13.9,14.7,13.4,11.8,24,30,15,20,115,12,4%,1.6,76%,1.6,76%,1.5,75%,0.88,60%,"89,162",0%,41%,27%,32%,15.4,16.5,17.0,15.8,13.1,31,36,21,25,115,11,1%,1.2,71%,1.3,71%,1.2,70%,0.90,57%,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rope,Rope,Plunder,"2,366",0%,29%,29%,42%,13.2,14.0,14.6,13.4,12.0,24,31,15,19,124,12,24%,2.8,89%,2.9,89%,2.7,89%,0.99,62%,"97,307",0%,56%,14%,30%,15.8,16.8,16.9,16.4,13.5,32,38,21,26,115,11,9%,2.0,83%,2.0,84%,1.9,83%,0.97,57%,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sack of Loot,Sack of Loot,Plunder,"2,283",0%,30%,22%,48%,13.3,14.4,14.7,13.9,12.1,25,34,15,21,116,11,1%,1.2,79%,1.3,80%,1.2,77%,0.93,59%,"73,372",0%,49%,15%,35%,15.9,17.1,17.2,16.9,13.6,33,40,21,26,118,12,3%,1.8,88%,1.8,89%,1.7,87%,0.95,56%,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Search,Search,Plunder,"2,267",1%,31%,27%,42%,13.8,14.8,15.5,13.9,12.4,24,32,16,21,113,12,22%,0.5,30%,0.6,29%,0.5,31%,0.97,59%,"73,305",0%,49%,20%,31%,16.2,17.3,17.6,16.7,13.7,32,37,21,25,109,11,40%,0.7,35%,0.7,35%,0.6,35%,0.91,56%,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Secluded Shrine,Secluded Shrine,Plunder,"2,277",0%,36%,20%,44%,13.9,15.0,15.6,13.9,12.5,25,33,16,22,115,12,0%,0.7,53%,0.6,51%,0.7,55%,0.92,60%,"74,975",0%,54%,13%,33%,16.4,17.7,17.7,17.6,13.8,32,38,21,26,112,11,0%,0.7,53%,0.7,53%,0.7,54%,0.94,56%,3,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Shaman,Shaman,Plunder,"2,051",11%,22%,24%,54%,15.2,17.1,18.0,16.3,13.6,22,32,14,21,139,13,13%,2.2,84%,2.2,83%,2.3,86%,1.00,63%,"62,764",6%,44%,17%,39%,18.0,19.9,19.9,19.7,14.9,32,40,21,27,131,13,8%,1.8,77%,1.8,76%,1.9,77%,0.99,57%,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Silver Mine,Silver Mine,Plunder,"2,392",0%,32%,23%,45%,13.8,15.1,15.7,14.1,12.3,25,33,16,22,114,11,0%,0.3,24%,0.3,24%,0.4,25%,0.96,58%,"96,824",0%,54%,15%,31%,16.6,17.9,17.9,17.8,13.9,32,38,22,26,110,11,0%,0.2,18%,0.3,19%,0.2,18%,0.88,56%,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siren,Siren,Plunder,"2,325",1%,22%,27%,51%,14.0,15.7,16.8,14.8,12.3,19,28,11,17,108,11,1%,1.3,75%,1.3,76%,1.3,74%,0.97,58%,"93,010",0%,47%,18%,35%,16.9,18.5,18.6,18.1,14.1,30,36,18,24,110,11,1%,1.0,64%,1.0,64%,1.0,63%,0.98,56%,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
